"reviewid","year"
22703,1998.0
22721,2016.0
22659,2016.0
22661,2016.0
22725,2016.0
22722,2016.0
22704,2016.0
22694,2016.0
22714,2017.0
22724,2016.0
22715,2016.0
22745,2016.0
22700,2016.0
22720,2016.0
22699,2016.0
22665,2016.0
22666,2016.0
22719,2016.0
22667,2016.0
22691,2016.0
22702,2016.0
22718,2016.0
22706,2016.0
22695,2016.0
22713,2016.0
22705,2016.0
22532,2016.0
22701,2016.0
22707,2016.0
22708,2016.0
22559,1996.0
22559,2016.0
22692,2016.0
22677,2016.0
22469,2016.0
22711,2016.0
22678,2016.0
22664,2016.0
22685,2016.0
22690,2016.0
22689,2016.0
22697,2016.0
22681,2016.0
22698,2016.0
22684,2016.0
22693,2016.0
22686,2016.0
22643,1966.0
22643,2016.0
22640,2016.0
22688,2016.0
22696,2016.0
22663,2016.0
22687,2016.0
22662,2016.0
22317,1998.0
22673,2016.0
22655,2016.0
22593,2016.0
22627,2016.0
22555,2016.0
22682,2016.0
22679,2016.0
22657,2016.0
22654,2016.0
22631,1991.0
22631,2016.0
22683,2016.0
22635,2016.0
22653,2016.0
22672,2016.0
22536,2016.0
22676,2016.0
22671,2016.0
22675,2016.0
22680,2016.0
22641,2016.0
22645,2016.0
22393,1968.0
22393,2016.0
22660,2016.0
22553,2016.0
22626,2006.0
22639,2016.0
22658,2016.0
22638,2016.0
22656,2016.0
22669,1991.0
22669,2016.0
22634,2016.0
22632,2016.0
22652,2016.0
22674,2016.0
22670,2016.0
22646,2016.0
22535,2016.0
22668,2016.0
22650,2016.0
22651,2016.0
22596,2016.0
22644,2016.0
22649,2016.0
22583,2016.0
22595,2016.0
22467,2016.0
22613,2016.0
22620,2016.0
22633,2016.0
22597,2016.0
22561,1991.0
22648,2016.0
22531,2016.0
22533,2016.0
22637,2016.0
22647,2016.0
22614,2016.0
22622,2016.0
22636,2016.0
22629,2016.0
22534,2016.0
22565,2016.0
22395,2016.0
22592,1993.0
22592,2016.0
22598,2016.0
22628,2016.0
22624,2016.0
22619,2016.0
22642,1988.0
22603,2016.0
22594,2016.0
22630,2016.0
22552,2016.0
22625,2016.0
22618,2016.0
22602,2016.0
22621,2016.0
22607,2016.0
22611,2016.0
22616,2016.0
22617,2016.0
22401,2016.0
22394,2016.0
22457,2016.0
22501,2016.0
22612,2016.0
22525,1962.0
22525,2016.0
22610,2016.0
22518,2016.0
22527,2016.0
22623,2016.0
22563,2016.0
22505,2016.0
22465,2016.0
22506,1984.0
22581,2016.0
22519,2016.0
22608,2016.0
22573,2016.0
22609,2016.0
22605,2016.0
22606,2003.0
22606,2016.0
22502,2016.0
22582,2016.0
22604,2016.0
22585,2016.0
22560,2016.0
22589,2016.0
22584,2016.0
22392,2016.0
22347,2016.0
22571,2016.0
22586,2016.0
22587,2016.0
22550,2016.0
22464,2016.0
22570,2016.0
22599,2016.0
22558,2016.0
22415,2016.0
22600,1976.0
22566,1994.0
22566,2016.0
22520,2016.0
22574,2016.0
22452,2016.0
22588,2016.0
22455,2016.0
22480,2016.0
22543,2016.0
22579,2016.0
22576,2016.0
22569,2016.0
22556,2016.0
22575,2016.0
22554,2016.0
22528,2016.0
22540,2016.0
22374,1979.0
22374,2016.0
22562,2016.0
22578,2016.0
22414,2016.0
22498,2016.0
22413,2016.0
22572,2016.0
22462,1971.0
22462,2016.0
22557,2016.0
22485,1975.0
22547,2016.0
22537,2016.0
22441,2016.0
22517,2016.0
22523,2016.0
22551,2016.0
22568,2016.0
22483,2016.0
22567,2016.0
22549,2016.0
22545,2016.0
22546,2016.0
22526,2016.0
22529,2016.0
22500,2016.0
22548,2016.0
22524,2016.0
22324,2016.0
22442,2016.0
22516,2016.0
22514,2016.0
22542,2016.0
22454,2016.0
22436,2016.0
22377,2016.0
22291,1980.0
22378,2016.0
22541,2016.0
22503,2016.0
22479,2016.0
22522,2016.0
22515,2016.0
22530,2016.0
22507,2016.0
22521,2016.0
22512,2016.0
22508,2016.0
22509,2016.0
22463,2016.0
22513,2016.0
22412,2016.0
22504,2016.0
22389,2016.0
22499,2016.0
22495,2016.0
22461,2016.0
22494,2016.0
22440,1979.0
22440,2016.0
22496,2016.0
22497,2016.0
22458,2016.0
22308,1974.0
22390,2016.0
22511,2016.0
22493,2016.0
22339,2016.0
22490,2016.0
22404,1969.0
22404,2016.0
22372,2016.0
22411,2016.0
22348,1978.0
22348,2016.0
22391,2016.0
22410,2016.0
22492,2016.0
22488,2016.0
22477,2016.0
22489,2016.0
22438,2016.0
22323,2016.0
22307,2016.0
22486,2016.0
22478,2016.0
22474,2016.0
22450,2016.0
22449,2016.0
22460,2016.0
22439,2016.0
22253,1989.0
22318,1997.0
22318,2016.0
22445,2016.0
22484,2016.0
22466,2016.0
22429,2016.0
22451,2016.0
22471,2016.0
22470,2016.0
22437,2016.0
22475,2016.0
22476,2016.0
22472,2016.0
22482,2016.0
22376,2016.0
22459,2016.0
22375,1970.0
22375,2016.0
22314,2016.0
22362,2002.0
22362,2016.0
22435,2016.0
22373,2016.0
22447,2016.0
22468,2016.0
22446,2016.0
22299,2016.0
22434,2016.0
22292,1995.0
22368,2016.0
22430,2016.0
22346,2016.0
22388,2016.0
22420,2016.0
22298,1996.0
22298,2016.0
22304,2016.0
22425,2016.0
22444,2016.0
22426,2016.0
22424,2016.0
22315,2016.0
22431,2016.0
22443,2016.0
22432,2016.0
22427,2016.0
22423,2016.0
22387,2016.0
22146,2016.0
22386,2016.0
22416,2016.0
22134,1982.0
22134,2016.0
22422,2016.0
22370,2016.0
22400,2016.0
22045,2000.0
22419,2016.0
22428,2016.0
22406,2016.0
22369,2016.0
22313,2016.0
22405,2016.0
22302,2016.0
22399,2016.0
22409,2016.0
22421,2016.0
22385,2016.0
22384,2016.0
22418,2016.0
22326,2016.0
22366,2016.0
22367,2016.0
22402,1997.0
22402,2016.0
22382,2016.0
22383,2016.0
22408,2016.0
22407,2016.0
22312,2016.0
22381,2016.0
22357,2016.0
22061,1975.0
22293,2016.0
22310,2016.0
22398,2016.0
22403,2016.0
22397,2016.0
22359,2016.0
22365,2016.0
22358,2016.0
22300,2016.0
22335,2016.0
22379,2016.0
22360,2016.0
22336,2016.0
22283,1984.0
22283,2016.0
22303,2016.0
22306,2016.0
22396,2016.0
22343,1973.0
22343,2016.0
22305,2016.0
22238,2016.0
22350,2016.0
22356,2016.0
22112,2016.0
22309,2016.0
22345,2016.0
22255,1968.0
22327,1990.0
22327,2016.0
22288,2016.0
22364,2016.0
22380,2016.0
22355,2016.0
22289,2016.0
22290,2016.0
22330,2016.0
22361,2016.0
22284,2016.0
22354,2016.0
22351,2016.0
22363,2016.0
22281,2016.0
22342,1971.0
22342,2016.0
22352,2016.0
22322,2016.0
22287,2016.0
22344,2016.0
22286,2016.0
22212,1969.0
22353,2016.0
22349,2016.0
22337,2016.0
21989,2016.0
22282,2016.0
22332,2016.0
22333,2016.0
22277,2016.0
22329,2016.0
22338,2002.0
22338,2016.0
22341,2016.0
22271,1975.0
22271,2016.0
22319,2016.0
22331,2016.0
22325,2016.0
22320,2016.0
22296,2016.0
22243,2016.0
22328,2016.0
22279,2016.0
22256,2016.0
22340,2016.0
22251,2016.0
22257,2016.0
22132,1999.0
22254,2016.0
22252,2016.0
22260,2016.0
22321,2016.0
22280,2016.0
22231,2016.0
22311,2016.0
22295,2016.0
22285,2016.0
22249,2016.0
22258,2016.0
22211,2016.0
22223,2016.0
22276,2016.0
22237,2016.0
22273,2016.0
22274,2016.0
22241,2016.0
22233,2016.0
22248,2016.0
22236,2016.0
22242,2016.0
22239,2016.0
22174,1976.0
22267,2016.0
22270,2016.0
22230,2016.0
22169,2016.0
22246,2016.0
22272,2016.0
22227,2016.0
22228,1994.0
22228,2016.0
22245,2016.0
22210,2016.0
22264,2016.0
22263,2016.0
22265,2016.0
22261,2016.0
22234,2016.0
22226,2016.0
22262,2016.0
22193,2016.0
22244,2016.0
22217,2016.0
22232,2016.0
22020,2016.0
22215,2016.0
22225,2016.0
22220,2016.0
22131,1992.0
22221,2016.0
22247,1986.0
22247,2016.0
22198,2016.0
22214,2016.0
22185,2016.0
22207,2016.0
22189,2016.0
22240,2016.0
22150,2016.0
22197,2016.0
22213,2016.0
22208,2016.0
22202,2016.0
22219,2016.0
22206,2016.0
22151,2016.0
22137,2016.0
22200,2016.0
22216,2016.0
22209,2016.0
22170,2016.0
22139,2016.0
22218,2016.0
22182,2016.0
22203,2016.0
22044,1991.0
22186,1998.0
22186,2016.0
22204,2016.0
22188,2016.0
22205,2016.0
22191,2016.0
22199,2016.0
22195,1972.0
22195,2016.0
22148,2016.0
22196,2016.0
22201,2016.0
22187,2016.0
22179,2016.0
22149,2016.0
22152,2016.0
22192,2016.0
22165,2016.0
22163,2016.0
22143,2016.0
22183,2016.0
22178,2016.0
22168,2016.0
22145,2016.0
22142,1989.0
22142,2016.0
22184,2016.0
22162,2016.0
22107,1991.0
22159,1964.0
22159,2016.0
22118,2016.0
22194,2016.0
22133,2016.0
22173,2016.0
22113,2016.0
22190,2016.0
22172,2016.0
22180,2016.0
22136,2016.0
22181,2016.0
22130,2016.0
22177,2016.0
22147,2016.0
22175,2016.0
22129,2016.0
22157,2016.0
22128,2016.0
22160,2016.0
22098,2016.0
22167,2016.0
22171,2016.0
21886,2016.0
22154,2016.0
22166,2016.0
22043,1993.0
22161,2016.0
22123,2016.0
22144,2016.0
22176,2016.0
22119,2016.0
22121,2016.0
22126,2016.0
22158,2016.0
22156,2016.0
22135,2016.0
22106,2016.0
22140,2016.0
22120,2016.0
22110,2016.0
22138,2016.0
22127,2016.0
22109,2016.0
22117,2016.0
22125,2016.0
22155,2016.0
22101,2016.0
22103,2016.0
22116,2016.0
22124,2016.0
22087,2016.0
21924,1979.0
22073,2016.0
22141,2016.0
22062,2016.0
22108,2016.0
22075,2016.0
22111,2016.0
22122,2016.0
22105,2016.0
22094,2016.0
22090,2016.0
22064,2016.0
22102,2016.0
22093,2016.0
22100,2016.0
22095,2016.0
22114,2016.0
22057,2016.0
22097,2016.0
22088,2016.0
22099,2016.0
21895,2016.0
22085,2016.0
22071,2016.0
22059,2016.0
22104,2016.0
22035,1998.0
22060,2016.0
22092,2016.0
22016,2016.0
22026,2016.0
22065,2016.0
22091,2016.0
22086,2016.0
22015,2016.0
22072,2016.0
22074,2016.0
22089,2016.0
22027,2016.0
22080,2016.0
22083,2016.0
21883,2016.0
22076,1978.0
22076,2016.0
22067,2016.0
22084,2016.0
22069,2016.0
22056,2016.0
22054,1995.0
22079,2016.0
22081,2016.0
22063,2016.0
22082,2016.0
22077,2016.0
22078,2016.0
22066,2016.0
22022,2016.0
22052,2016.0
22070,2016.0
22029,2016.0
22021,1996.0
22021,2016.0
22030,2016.0
22013,2016.0
21969,2016.0
22001,2016.0
22055,2016.0
22041,2016.0
22068,2016.0
22042,2016.0
22039,1977.0
22039,2016.0
21985,2016.0
22018,2016.0
22058,2016.0
21968,2016.0
22053,1975.0
22019,2016.0
22014,1980.0
22014,2016.0
22038,1987.0
22038,2016.0
22007,2016.0
22050,2016.0
21719,2016.0
22012,2016.0
22032,2016.0
22049,2016.0
22048,2016.0
22017,2016.0
22005,2016.0
21970,2016.0
22036,2016.0
21971,2016.0
21979,2016.0
21994,2016.0
21988,2016.0
21984,2016.0
22000,2016.0
21992,2016.0
22010,2016.0
22011,2016.0
22034,2016.0
21951,2016.0
22037,1970.0
22024,2016.0
21884,2016.0
22046,2016.0
21982,2016.0
21973,2016.0
21726,2016.0
22033,1979.0
22033,2016.0
21991,2016.0
22004,2016.0
22040,2016.0
21974,2016.0
22008,2016.0
22006,2011.0
22006,2016.0
21972,2016.0
22031,2016.0
21945,2016.0
21995,2016.0
21965,2016.0
21882,2016.0
22002,2016.0
21990,2016.0
21885,2016.0
21967,2016.0
21966,1979.0
21966,2016.0
21889,2016.0
21964,1985.0
21980,1997.0
21980,2016.0
21946,2016.0
21941,2016.0
21931,2016.0
21953,2016.0
21987,2016.0
21996,2016.0
21999,2016.0
21998,2016.0
21978,2016.0
21961,2016.0
21722,1973.0
21722,2016.0
21952,2016.0
21997,2016.0
21872,2016.0
21954,2016.0
21986,2016.0
21962,2016.0
21938,2016.0
21654,2016.0
21871,2016.0
21828,2016.0
21959,2016.0
21977,2016.0
21981,2016.0
21904,2016.0
21873,2016.0
21960,1965.0
21960,2016.0
21890,2016.0
21913,2016.0
21932,2016.0
21942,2016.0
21937,2016.0
21921,2016.0
21916,2016.0
21976,2016.0
21915,2016.0
21944,2016.0
21723,2016.0
21958,2016.0
21975,2016.0
21957,2016.0
21917,2016.0
21943,2016.0
21910,2016.0
21956,2016.0
21891,2016.0
21718,2016.0
21922,2016.0
21786,2016.0
21950,2016.0
21821,2016.0
21947,2016.0
21934,2016.0
21675,2016.0
21940,2016.0
21933,1983.0
21933,2016.0
21949,2016.0
21948,2016.0
21955,2016.0
21536,2016.0
21936,2016.0
21892,2016.0
21874,2016.0
21584,1971.0
21584,2016.0
21880,2016.0
21896,1976.0
21896,2016.0
21923,2016.0
21929,2016.0
21914,1975.0
21914,2016.0
21939,2016.0
21926,2016.0
21893,2016.0
21868,2016.0
21920,2016.0
21864,2016.0
21894,2016.0
21935,2016.0
21721,2016.0
21673,2016.0
21928,2016.0
21898,2016.0
21875,2016.0
21771,2016.0
21725,2016.0
21912,2016.0
21865,2016.0
21802,2016.0
21676,2016.0
21887,2016.0
21919,2016.0
21909,2016.0
21700,2016.0
21911,2016.0
21869,2009.0
21869,2016.0
21918,2016.0
21677,2016.0
21818,2016.0
21784,2016.0
21862,2016.0
21901,2000.0
21901,2016.0
21858,2016.0
21900,2016.0
21877,2016.0
21899,2016.0
21785,2016.0
21724,2016.0
21908,2016.0
21879,2016.0
21876,2016.0
21820,2016.0
21859,2016.0
21907,2016.0
21888,2016.0
21678,2016.0
21878,2016.0
21906,2016.0
21861,2016.0
21863,2016.0
21852,2016.0
21782,2016.0
21783,2016.0
21855,2016.0
21720,2016.0
21817,2016.0
21701,1971.0
21701,2016.0
21854,2016.0
21856,2016.0
21905,2016.0
21849,2016.0
21860,2016.0
21645,2016.0
21857,2016.0
21819,2016.0
21794,2016.0
21810,1982.0
21810,2016.0
21815,2016.0
21687,2016.0
21804,2016.0
21853,2016.0
21851,2016.0
21848,2016.0
21653,2016.0
21813,2016.0
21903,2016.0
21816,1990.0
21816,2016.0
21836,2016.0
21835,2016.0
21850,2016.0
21801,2016.0
21845,1987.0
21842,1982.0
21844,1986.0
21846,1991.0
21841,1984.0
21866,1980.0
21843,1981.0
21847,1985.0
21715,2016.0
21839,2016.0
21637,2016.0
21781,2016.0
21743,2016.0
21806,2016.0
21834,2016.0
21825,2016.0
21867,2016.0
21826,2016.0
21838,2016.0
21837,2016.0
21833,2016.0
21797,1960.0
21797,2016.0
21762,1995.0
21762,2016.0
21717,2016.0
21814,2016.0
21694,2016.0
21799,1968.0
21799,2016.0
21840,2016.0
21744,2016.0
21714,2006.0
21714,2016.0
21696,2016.0
21832,2016.0
21827,2016.0
21808,2016.0
21807,1983.0
21807,2016.0
21792,2016.0
21695,2016.0
21709,2016.0
21778,2016.0
21708,2016.0
21809,2016.0
21758,2016.0
21791,2016.0
21699,2016.0
21831,2016.0
21822,2016.0
21800,2016.0
21733,2016.0
21729,2016.0
21824,2016.0
21681,2016.0
21680,2016.0
21829,2016.0
21636,2016.0
21703,2016.0
21698,2016.0
21749,2016.0
21697,2016.0
21742,2016.0
21780,2016.0
21755,1983.0
21755,2016.0
21688,2016.0
21812,2016.0
21716,2016.0
21732,2016.0
21547,2016.0
21562,2016.0
21811,2016.0
21770,2016.0
21752,2016.0
21769,2016.0
21690,2016.0
21679,2016.0
21803,2016.0
21693,2016.0
21597,2016.0
21748,2016.0
21767,2016.0
21594,2015.0
21704,1971.0
21704,2016.0
21635,2016.0
21796,2016.0
21750,2016.0
21805,2016.0
21587,1994.0
21587,2016.0
21775,2010.0
21775,2016.0
21766,2016.0
21751,2016.0
21728,2016.0
21674,2016.0
21756,2016.0
21768,2016.0
21596,2016.0
21747,2016.0
21776,2016.0
21628,2016.0
21627,2016.0
21576,2016.0
21633,2016.0
21757,2016.0
21765,2016.0
21779,2016.0
21741,2016.0
21626,2016.0
21777,2016.0
21790,2016.0
21763,2016.0
21595,2016.0
21538,2016.0
21537,2016.0
21593,2016.0
21789,2016.0
21551,2016.0
21660,2016.0
21710,2016.0
21764,2016.0
21754,2016.0
21788,2016.0
21629,2016.0
21652,2016.0
21652,1984.0
21686,2016.0
21761,2016.0
21740,2016.0
21535,2016.0
21746,2016.0
21656,2016.0
21685,2016.0
21625,2016.0
21702,2016.0
21641,2016.0
21712,2016.0
21759,2016.0
21664,2016.0
21745,2016.0
21737,2016.0
21518,2016.0
21683,2016.0
21738,2016.0
21773,2016.0
21615,2016.0
21707,2016.0
21550,2016.0
21730,2016.0
21684,2016.0
21727,2016.0
21647,2016.0
21672,2016.0
21739,2016.0
21614,2016.0
21617,2016.0
21591,2016.0
21646,2016.0
21692,2016.0
21650,2016.0
21640,2016.0
21590,2016.0
21736,2016.0
21605,2016.0
21670,2016.0
21753,2016.0
21588,2016.0
21549,2016.0
21666,1991.0
21666,2016.0
21632,1983.0
21632,2016.0
21606,2016.0
21509,2016.0
21631,2016.0
21713,2016.0
21630,2016.0
21616,2016.0
21731,2016.0
21668,2016.0
21711,2016.0
21658,2016.0
21612,2016.0
21563,2016.0
21667,2016.0
21644,2016.0
21642,2016.0
21691,2016.0
21586,2016.0
21555,2016.0
21669,2016.0
21546,2016.0
21655,2016.0
21665,2016.0
21706,2016.0
21443,2016.0
21651,2016.0
21659,2016.0
21705,2016.0
21526,2016.0
21643,2016.0
21486,2016.0
21623,2016.0
21527,2016.0
21603,2016.0
21415,2016.0
21648,2016.0
21624,2016.0
21575,2016.0
21682,2016.0
21569,2016.0
21534,2016.0
21613,2016.0
21561,2016.0
21574,2016.0
21622,2016.0
21512,2016.0
21610,2016.0
21558,2000.0
21558,2016.0
21585,2016.0
21583,2016.0
21582,2016.0
21661,2016.0
21663,2016.0
21573,2016.0
21600,2016.0
21408,2016.0
21621,2016.0
21510,2012.0
21510,2016.0
21604,2016.0
21567,2016.0
21611,2016.0
21639,2016.0
21504,2016.0
21609,2016.0
21453,2016.0
21572,2016.0
21570,2016.0
21412,2016.0
21544,2016.0
21619,1982.0
21619,2016.0
21435,2016.0
21657,2016.0
21548,1979.0
21548,2016.0
21607,2016.0
21560,2016.0
21608,2016.0
21620,2016.0
21439,2016.0
21602,2016.0
21638,2016.0
21452,2016.0
21559,2016.0
21601,2016.0
21470,2016.0
21466,2016.0
21545,2016.0
21571,2016.0
21339,2016.0
21557,2016.0
21523,2016.0
21414,2016.0
21467,2016.0
21599,2016.0
21017,2016.0
21568,2016.0
21495,2016.0
21508,2016.0
21580,2016.0
